quote_id,text,author,tags
a7fc0bca0a290bf91f890705508c4f2ab75a780c9e7b61e64ca435754d0f1f68,"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.",Jane Austen,books|library|reading
96d3610af3eb595972d6babdd5c3df4994e8ea6e53c8b62f7df02409bf86e461,"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.",Jane Austen,elizabeth-bennet|jane-austen
b6e5afce45794c3bb356ea7a23f2ba6ec9d3eae2d2da0b04dcd5aebf78ad3ed3,Some day you will be old enough to start reading fairy tales again.,C.S. Lewis,age|fairytales|growing-up
234f14b499c18bc48df7f19216908455885d3deadaa92e0459b50af2109a6483,We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.,C.S. Lewis,god
77dafc9818118198006d8af0f3b0465a3e22451ef336ea332b7d29e3faa286d1,The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,Mark Twain,death|life
876c483f77861011e20936d98cc00c21287078e4f70ceb9e1a326bcd7d07210f,A lie can travel half way around the world while the truth is putting on its shoes.,Mark Twain,misattributed-mark-twain|truth
5e1b8c30056257da675d06a72294d6244ddb5f6b66ffa81f16d1ab7e98fdacd6,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",C.S. Lewis,christianity|faith|religion|sun
daa4f8958ee5f08c3bc11de14b3ff3ba212e4525b3549f94b1338ab18d9dcdd1,"The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.",J.K. Rowling,truth
87b4c5be59021d9a29ec763f3b330893a5bbd8783030f4419e361c98538b5ffb,"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.",Jimi Hendrix,death|life
9e9ef6c1027536bf292b84e81d6a87bc9086f4450f18e4b885b25ec826ab4d0b,To die will be an awfully big adventure.,J.M. Barrie,adventure|love
da1b60446bc2dee20756b7cc79b215625da186ce0fbd5536c2931eedbdf3131f,It takes courage to grow up and become who you really are.,E.E. Cummings,courage
ca805e8415862af078325cc2431baa9914450bbf6b74d09ce652e0adf49ee550,But better to get hurt by the truth than comforted with a lie.,Khaled Hosseini,life
ec23c72ea6007ba33c8e369fc0435d2ebecf63b9ea48c10d3c4640c58ac1f3e2,You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.,Harper Lee,better-life-empathy
267739031d2db38b4269f1b8d7bf36447c0b8288353535d693b07a33c268d0fb,"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",Madeleine L'Engle,books|children|difficult|grown-ups|write|writers|writing
d18592cb305645d87b2c0ac505ccdf57240a53691919f394f6fb6e908f435bab,Never tell the truth to people who are not worthy of it.,Mark Twain,truth
6f63778cd1521a3f47256cb2f0bb5864569c55e7c520ad2978a4f89ea3b2f8d9,"A person's a person, no matter how small.",Dr. Seuss,inspirational
e94969b7bb0aab656e69214e9af43166be897418716e23ed35760657ef712801,"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.",George R.R. Martin,books|mind
